timestamp,camera,line,in,out
2025-11-14T15:32:47+07:00,cam1,1,1,0
2025-11-14T15:34:00+07:00,cam1,2,1,0
2025-11-14T15:34:05+07:00,cam1,2,0,1
2025-11-14T15:34:48+07:00,cam1,3,1,0
2025-11-14T15:34:50+07:00,cam1,3,1,0
2025-11-14T15:36:13+07:00,cam1,2,1,0
2025-11-14T15:36:14+07:00,cam1,2,1,0
2025-11-14T15:36:15+07:00,cam1,2,0,1
2025-11-14T15:36:16+07:00,cam1,2,1,0
2025-11-14T15:36:17+07:00,cam1,2,0,1
2025-11-14T15:36:17+07:00,cam1,2,0,1
2025-11-14T15:37:14+07:00,cam1,3,1,0
2025-11-14T15:38:39+07:00,cam1,2,1,0
2025-11-14T15:39:21+07:00,cam1,2,0,1
2025-11-14T15:44:22+07:00,cam1,2,1,0
2025-11-14T15:45:00+07:00,cam1,3,0,1
2025-11-14T15:45:33+07:00,cam1,2,1,0
2025-11-14T15:45:35+07:00,cam1,2,1,0
2025-11-14T15:45:36+07:00,cam1,2,1,0
2025-11-14T15:46:57+07:00,cam1,2,1,0
2025-11-14T15:46:59+07:00,cam1,2,1,0
2025-11-14T15:47:58+07:00,cam1,1,0,1
2025-11-14T15:48:00+07:00,cam1,1,1,0
2025-11-14T15:48:11+07:00,cam1,3,1,0
2025-11-14T15:49:46+07:00,cam1,3,0,1
2025-11-14T15:50:47+07:00,cam1,1,1,0
2025-11-14T15:50:51+07:00,cam1,1,0,1
2025-11-14T15:51:45+07:00,cam1,2,0,1
2025-11-14T15:54:01+07:00,cam1,1,1,0
2025-11-14T15:54:56+07:00,cam1,2,0,1
2025-11-14T15:54:57+07:00,cam1,2,1,0
2025-11-14T15:55:03+07:00,cam1,2,0,1
2025-11-14T15:55:38+07:00,cam1,1,1,0
2025-11-14T15:56:55+07:00,cam1,2,1,0
2025-11-14T15:57:29+07:00,cam1,3,1,0
2025-11-14T15:58:11+07:00,cam1,3,0,1
2025-11-14T15:58:45+07:00,cam1,2,1,0
2025-11-14T16:00:57+07:00,cam1,2,0,1
2025-11-14T16:01:07+07:00,cam1,1,1,0
2025-11-14T16:04:22+07:00,cam1,1,1,0
2025-11-14T16:04:24+07:00,cam1,1,1,0
2025-11-14T16:05:30+07:00,cam1,2,1,0
2025-11-14T16:06:26+07:00,cam1,1,0,1
2025-11-14T16:06:27+07:00,cam1,1,0,1
2025-11-14T16:06:31+07:00,cam1,1,1,0
2025-11-14T16:06:31+07:00,cam1,1,0,1
2025-11-14T16:07:11+07:00,cam1,2,0,1
2025-11-14T16:07:11+07:00,cam1,2,1,0
2025-11-14T16:07:11+07:00,cam1,2,0,1
2025-11-14T16:07:11+07:00,cam1,2,1,0
2025-11-14T16:07:48+07:00,cam1,2,0,1
2025-11-14T16:09:09+07:00,cam1,2,0,1
